Key,SourceString,Comment
"gamemode_any","All",""
"gamemode_deathmatch","Deathmatch",""
"gamemode_description_deathmatch","[PvP] Fight for the most kills in a free-for-all battle with unlimited respawns.",""
"gamemode_dtas","Dynamic Take and Secure",""
"gamemode_description_dtas","[PvP] Two teams spawn in completely random spots on the map. Once Defenders have placed the flag, Attackers must locate and capture the flag area.",""
"gamemode_hostagerescue","Hostage Rescue",""
"gamemode_description_hostagerescue","[PvP] One attacker has been taken hostage by defenders inside a building. Attackers must reach their teammate and get them to the extraction.",""
"gamemode_intelretrieval","Intel Retrieval",""
"gamemode_description_intelretrieval","[Solo/Co-Op] Search for the intel device in one of several suspected locations, then safely retrieve it to the marked extraction point.",""
"gamemode_teamelimination","Team Elimination",""
"gamemode_description_teamelimination","[PvP] Eliminate the opposing team. Individual and collective respawns can be enabled.",""
"gamemode_terroristhunt","Terrorist Hunt",""
"gamemode_description_terroristhunt","[Solo/Co-Op] Locate and eliminate a predetermined number of enemies in the area of operations.",""
"gamemode_training","Training",""
"gamemode_description_training","[Solo/Co-Op] Practice your shooting and CQB skills individually or collectively in The Farm's multiple ranges and shoothouses.",""
"gamemode_uplink","Uplink",""
"gamemode_description_uplink","[PvP] Defenders guard an intel device in one of several possible locations, as Attackers must locate and hack it to win.",""
"gamemode_defuse","Defuse",""
"gamemode_description_defuse","[Solo/Co-Op] Locate and defuse all bombs before the timer runs out.",used in mission selection screen
"gamemode_killconfirmedsemipermissive","Kill Confirmed (Semi-Permissive)",""
"gamemode_description_killconfirmedsemipermissive","[Solo/Co-Op] TBD",""
"missionsetting_timeofday","Insertion time","Opsboard"
"missionsetting_trainingtimeofday","Set local time","Opsboard"
"missionsetting_roundtime","Time limit","Opsboard"
"missionsetting_roundtime_5","5 min","Opsboard"
"missionsetting_roundtime_10","10 min","Opsboard"
"missionsetting_roundtime_15","15 min","Opsboard"
"missionsetting_roundtime_20","20 min","Opsboard"
"missionsetting_roundtime_25","25 min","Opsboard"
"missionsetting_roundtime_30","30 min","Opsboard"
"missionsetting_roundtime_35","35 min","Opsboard"
"missionsetting_roundtime_40","40 min","Opsboard"
"missionsetting_roundtime_45","45 min","Opsboard"
"missionsetting_roundtime_50","50 min","Opsboard"
"missionsetting_roundtime_55","55 min","Opsboard"
"missionsetting_roundtime_60","60 min","Opsboard"
"missionsetting_difficulty","Enemy experience","Opsboard"
"missionsetting_difficulty_0","Custom","Opsboard"
"missionsetting_difficulty_1","Untrained","Opsboard"
"missionsetting_difficulty_2","Trained","Opsboard"
"missionsetting_difficulty_3","Experienced","Opsboard"
"missionsetting_difficulty_4","Veteran","Opsboard"
"missionsetting_opforcount","Expected enemy resistance","Opsboard"
"missionsetting_quickteamkits","Quick team kits","Opsboard"
"missionsetting_quickteamkits_0","No restrictions","Opsboard"
